PV Cell Characteristics


Date and Time: 2019-11-18 22:10:19


Model:            g191109-3
Serial Number:    
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           0.502000
Isc(A):           0.000825
Vm(V):            0.244000
Im(A):            0.000405
Pmax(W):          0.000099
Efficiency(%):    0.824111
Fill Factor(%):   23.872594
Jsc(A/m2):        68.767367
Rs(ohm):          650.252558
Rsh(ohm):         567.977432
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)


1.178551E-003	-2.000000E-001	-2.357102E-004
1.166816E-003	-1.940000E-001	-2.263623E-004
1.155746E-003	-1.880000E-001	-2.172802E-004
1.144891E-003	-1.820000E-001	-2.083702E-004
1.133948E-003	-1.760000E-001	-1.995748E-004
1.122924E-003	-1.700000E-001	-1.908971E-004
1.112034E-003	-1.640000E-001	-1.823736E-004
1.101380E-003	-1.580000E-001	-1.740180E-004
1.090390E-003	-1.520000E-001	-1.657393E-004
1.079780E-003	-1.460000E-001	-1.576479E-004
1.069003E-003	-1.400000E-001	-1.496604E-004
1.058420E-003	-1.340000E-001	-1.418283E-004
1.047816E-003	-1.280000E-001	-1.341204E-004
1.037291E-003	-1.220000E-001	-1.265495E-004
1.026480E-003	-1.160000E-001	-1.190717E-004
1.015749E-003	-1.100000E-001	-1.117324E-004
1.005118E-003	-1.040000E-001	-1.045323E-004
9.948477E-004	-9.800000E-002	-9.749507E-005
9.841317E-004	-9.200000E-002	-9.054012E-005
9.735702E-004	-8.600000E-002	-8.372704E-005
9.631988E-004	-8.000000E-002	-7.705590E-005
9.526596E-004	-7.400000E-002	-7.049681E-005
9.418827E-004	-6.800000E-002	-6.404802E-005
9.312838E-004	-6.200000E-002	-5.773960E-005
9.205132E-004	-5.600000E-002	-5.154874E-005
9.099825E-004	-5.000000E-002	-4.549913E-005
8.992384E-004	-4.400000E-002	-3.956649E-005
8.887323E-004	-3.800000E-002	-3.377183E-005
8.780670E-004	-3.200000E-002	-2.809814E-005
8.675895E-004	-2.600000E-002	-2.255733E-005
8.570512E-004	-2.000000E-002	-1.714102E-005
8.464667E-004	-1.400000E-002	-1.185053E-005
8.357400E-004	-8.000000E-003	-6.685920E-006
8.252084E-004	-2.000000E-003	-1.650417E-006
8.146124E-004	4.000000E-003	3.258450E-006
8.040193E-004	1.000000E-002	8.040193E-006
7.934856E-004	1.600000E-002	1.269577E-005
7.828652E-004	2.200000E-002	1.722303E-005
7.724482E-004	2.800000E-002	2.162855E-005
7.619835E-004	3.400000E-002	2.590744E-005
7.516534E-004	4.000000E-002	3.006614E-005
7.411987E-004	4.600000E-002	3.409514E-005
7.306527E-004	5.200000E-002	3.799394E-005
7.202281E-004	5.800000E-002	4.177323E-005
7.098109E-004	6.400000E-002	4.542790E-005
6.994465E-004	7.000000E-002	4.896126E-005
6.889804E-004	7.600000E-002	5.236251E-005
6.787280E-004	8.200000E-002	5.565570E-005
6.683413E-004	8.800000E-002	5.881403E-005
6.580947E-004	9.400000E-002	6.186090E-005
6.478662E-004	1.000000E-001	6.478662E-005
6.375308E-004	1.060000E-001	6.757826E-005
6.272530E-004	1.120000E-001	7.025234E-005
