PV Cell Characteristics


Date and Time: 2019-11-18 22:15:23


Model:            g191109-1
Serial Number:    
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           -0.002000
Isc(A):           0.001156
Vm(V):            -0.200000
Im(A):            0.098873
Pmax(W):          -0.019775
Efficiency(%):    -164.788833
Fill Factor(%):   855619.189045
Jsc(A/m2):        96.298000
Rs(ohm):          1.978042
Rsh(ohm):         1.978042
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)
-2.731094E-001	4.720000E-001	-1.289076E-001
-2.772708E-001	4.780000E-001	-1.325354E-001
-2.813525E-001	4.840000E-001	-1.361746E-001
-2.855012E-001	4.900000E-001	-1.398956E-001
-2.896274E-001	4.960000E-001	-1.436552E-001
-2.938098E-001	5.020000E-001	-1.474925E-001
-2.979886E-001	5.080000E-001	-1.513782E-001
-3.021913E-001	5.140000E-001	-1.553263E-001
-3.064607E-001	5.200000E-001	-1.593596E-001
-3.107225E-001	5.260000E-001	-1.634400E-001
-3.150109E-001	5.320000E-001	-1.675858E-001
-3.193059E-001	5.380000E-001	-1.717866E-001
-3.236312E-001	5.440000E-001	-1.760554E-001
-3.279236E-001	5.500000E-001	-1.803580E-001
-3.323016E-001	5.560000E-001	-1.847597E-001
-3.366868E-001	5.620000E-001	-1.892180E-001
-3.410806E-001	5.680000E-001	-1.937338E-001
-3.455466E-001	5.740000E-001	-1.983437E-001
-3.500252E-001	5.800000E-001	-2.030146E-001
-3.544456E-001	5.860000E-001	-2.077051E-001
-3.589538E-001	5.920000E-001	-2.125006E-001
-3.634806E-001	5.980000E-001	-2.173614E-001
-3.680010E-001	6.040000E-001	-2.222726E-001
-3.725727E-001	6.100000E-001	-2.272693E-001
-3.771847E-001	6.160000E-001	-2.323458E-001
-3.818264E-001	6.220000E-001	-2.374960E-001
-3.864697E-001	6.280000E-001	-2.427030E-001
-3.911347E-001	6.340000E-001	-2.479794E-001
-3.958607E-001	6.400000E-001	-2.533508E-001
-4.005302E-001	6.460000E-001	-2.587425E-001
-4.052749E-001	6.520000E-001	-2.642392E-001
-4.100453E-001	6.580000E-001	-2.698098E-001
-4.148649E-001	6.640000E-001	-2.754703E-001
-4.196564E-001	6.700000E-001	-2.811698E-001
-4.245846E-001	6.760000E-001	-2.870192E-001
-4.294590E-001	6.820000E-001	-2.928910E-001
-4.343876E-001	6.880000E-001	-2.988587E-001
-4.393185E-001	6.940000E-001	-3.048870E-001
-4.442828E-001	7.000000E-001	-3.109980E-001
-4.492899E-001	7.060000E-001	-3.171987E-001
-4.542914E-001	7.120000E-001	-3.234555E-001
-4.593354E-001	7.180000E-001	-3.298028E-001
-4.644668E-001	7.240000E-001	-3.362740E-001
-4.695255E-001	7.300000E-001	-3.427536E-001
-4.747019E-001	7.360000E-001	-3.493806E-001
-4.799158E-001	7.420000E-001	-3.560975E-001
-4.851107E-001	7.480000E-001	-3.628628E-001
-4.903418E-001	7.540000E-001	-3.697177E-001
-4.955907E-001	7.600000E-001	-3.766489E-001
-5.004084E-001	7.660000E-001	-3.833128E-001
-5.002455E-001	7.720000E-001	-3.861895E-001
-5.001667E-001	7.780000E-001	-3.891297E-001
-5.001914E-001	7.840000E-001	-3.921501E-001
-5.001324E-001	7.900000E-001	-3.951046E-001
-5.001453E-001	7.960000E-001	-3.981157E-001
-5.001790E-001	8.020000E-001	-4.011436E-001
-5.001292E-001	8.080000E-001	-4.041044E-001
-5.001748E-001	8.140000E-001	-4.071423E-001
-5.001765E-001	8.200000E-001	-4.101447E-001
-5.002304E-001	8.260000E-001	-4.131903E-001
-5.001388E-001	8.320000E-001	-4.161155E-001
-5.002065E-001	8.380000E-001	-4.191730E-001
-5.001528E-001	8.440000E-001	-4.221290E-001
-5.001528E-001	8.500000E-001	-4.251299E-001
-5.001076E-001	8.560000E-001	-4.280921E-001
-5.000933E-001	8.620000E-001	-4.310804E-001
-5.001502E-001	8.680000E-001	-4.341304E-001
-5.002094E-001	8.740000E-001	-4.371830E-001
-5.002107E-001	8.800000E-001	-4.401854E-001
-5.002055E-001	8.860000E-001	-4.431821E-001
-5.002038E-001	8.920000E-001	-4.461818E-001
-5.002142E-001	8.980000E-001	-4.491924E-001
-5.001968E-001	9.040000E-001	-4.521779E-001
-5.001457E-001	9.100000E-001	-4.551326E-001
-5.001163E-001	9.160000E-001	-4.581065E-001
-5.001464E-001	9.220000E-001	-4.611350E-001
-5.001702E-001	9.280000E-001	-4.641579E-001
-5.001968E-001	9.340000E-001	-4.671838E-001
-5.001543E-001	9.400000E-001	-4.701450E-001
-5.002042E-001	9.460000E-001	-4.731932E-001
-5.001968E-001	9.520000E-001	-4.761874E-001
-5.001712E-001	9.580000E-001	-4.791640E-001
-5.001553E-001	9.640000E-001	-4.821497E-001
-5.001457E-001	9.700000E-001	-4.851413E-001
-5.001712E-001	9.760000E-001	-4.881671E-001
-5.001428E-001	9.820000E-001	-4.911402E-001
-5.001563E-001	9.880000E-001	-4.941544E-001
-5.001944E-001	9.940000E-001	-4.971932E-001
