PV Cell Characteristics


Date and Time: 2019-11-18 22:10:04


Model:            g191109-3
Serial Number:    
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           0.214000
Isc(A):           0.000672
Vm(V):            0.106000
Im(A):            0.000346
Pmax(W):          0.000037
Efficiency(%):    0.305886
Fill Factor(%):   25.505958
Jsc(A/m2):        56.040842
Rs(ohm):          321.613384
Rsh(ohm):         335.955654
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)


1.227717E-003	-2.000000E-001	-2.455434E-004
1.211637E-003	-1.940000E-001	-2.350576E-004
1.195717E-003	-1.880000E-001	-2.247948E-004
1.179703E-003	-1.820000E-001	-2.147059E-004
1.163632E-003	-1.760000E-001	-2.047992E-004
1.147346E-003	-1.700000E-001	-1.950488E-004
1.130870E-003	-1.640000E-001	-1.854627E-004
1.114566E-003	-1.580000E-001	-1.761014E-004
1.098232E-003	-1.520000E-001	-1.669313E-004
1.081714E-003	-1.460000E-001	-1.579302E-004
1.065228E-003	-1.400000E-001	-1.491319E-004
1.048712E-003	-1.340000E-001	-1.405274E-004
1.032018E-003	-1.280000E-001	-1.320983E-004
1.015527E-003	-1.220000E-001	-1.238943E-004
1.000977E-003	-1.160000E-001	-1.161133E-004
9.839094E-004	-1.100000E-001	-1.082300E-004
9.671008E-004	-1.040000E-001	-1.005785E-004
9.500680E-004	-9.800000E-002	-9.310666E-005
9.332408E-004	-9.200000E-002	-8.585815E-005
9.160772E-004	-8.600000E-002	-7.878264E-005
8.991965E-004	-8.000000E-002	-7.193572E-005
8.821530E-004	-7.400000E-002	-6.527932E-005
8.648504E-004	-6.800000E-002	-5.880983E-005
8.474713E-004	-6.200000E-002	-5.254322E-005
8.300224E-004	-5.600000E-002	-4.648125E-005
8.127705E-004	-5.000000E-002	-4.063853E-005
7.952560E-004	-4.400000E-002	-3.499126E-005
7.778649E-004	-3.800000E-002	-2.955887E-005
7.604567E-004	-3.200000E-002	-2.433461E-005
7.429477E-004	-2.600000E-002	-1.931664E-005
7.255063E-004	-2.000000E-002	-1.451013E-005
7.080124E-004	-1.400000E-002	-9.912174E-006
6.902579E-004	-8.000000E-003	-5.522063E-006
6.724901E-004	-2.000000E-003	-1.344980E-006
6.545389E-004	4.000000E-003	2.618156E-006
6.367755E-004	1.000000E-002	6.367755E-006
6.189623E-004	1.600000E-002	9.903397E-006
6.009084E-004	2.200000E-002	1.321998E-005
5.831583E-004	2.800000E-002	1.632843E-005
5.651389E-004	3.400000E-002	1.921472E-005
5.473447E-004	4.000000E-002	2.189379E-005
5.293695E-004	4.600000E-002	2.435100E-005
5.112698E-004	5.200000E-002	2.658603E-005
4.931295E-004	5.800000E-002	2.860151E-005
4.748482E-004	6.400000E-002	3.039028E-005
4.566400E-004	7.000000E-002	3.196480E-005
4.382027E-004	7.600000E-002	3.330341E-005
4.198811E-004	8.200000E-002	3.443025E-005
4.014837E-004	8.800000E-002	3.533057E-005
3.831039E-004	9.400000E-002	3.601177E-005
3.646892E-004	1.000000E-001	3.646892E-005
3.462864E-004	1.060000E-001	3.670636E-005
3.277198E-004	1.120000E-001	3.670462E-005
