PV Cell Characteristics


Date and Time: 2019-11-18 22:11:00


Model:            g191109-3
Serial Number:    
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           0.496000
Isc(A):           0.000833
Vm(V):            0.250000
Im(A):            0.000418
Pmax(W):          0.000105
Efficiency(%):    0.871714
Fill Factor(%):   25.317402
Jsc(A/m2):        69.418158
Rs(ohm):          650.738751
Rsh(ohm):         613.810742
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)
-3.080392E-005	5.140000E-001	-1.583321E-005
-4.163715E-005	5.200000E-001	-2.165132E-005
-5.237719E-005	5.260000E-001	-2.755040E-005
-6.325721E-005	5.320000E-001	-3.365284E-005
-7.403507E-005	5.380000E-001	-3.983087E-005
-8.491054E-005	5.440000E-001	-4.619133E-005
-9.583796E-005	5.500000E-001	-5.271088E-005
-1.067983E-004	5.560000E-001	-5.937985E-005
-1.179657E-004	5.620000E-001	-6.629672E-005
-1.291259E-004	5.680000E-001	-7.334351E-005
-1.401512E-004	5.740000E-001	-8.044679E-005
-1.513445E-004	5.800000E-001	-8.777981E-005
-1.624874E-004	5.860000E-001	-9.521762E-005
-1.737477E-004	5.920000E-001	-1.028586E-004
-1.850413E-004	5.980000E-001	-1.106547E-004
-1.964902E-004	6.040000E-001	-1.186801E-004
-2.079366E-004	6.100000E-001	-1.268413E-004
-2.194030E-004	6.160000E-001	-1.351522E-004
-2.309597E-004	6.220000E-001	-1.436569E-004
-2.424865E-004	6.280000E-001	-1.522815E-004
-2.541860E-004	6.340000E-001	-1.611539E-004
-2.658497E-004	6.400000E-001	-1.701438E-004
-2.777010E-004	6.460000E-001	-1.793948E-004
-2.895302E-004	6.520000E-001	-1.887737E-004
-3.014732E-004	6.580000E-001	-1.983694E-004
-3.134380E-004	6.640000E-001	-2.081228E-004
-3.254801E-004	6.700000E-001	-2.180717E-004
-3.376896E-004	6.760000E-001	-2.282782E-004
-3.498364E-004	6.820000E-001	-2.385884E-004
-3.621857E-004	6.880000E-001	-2.491838E-004
-3.745086E-004	6.940000E-001	-2.599090E-004
-3.869998E-004	7.000000E-001	-2.708999E-004
-3.994807E-004	7.060000E-001	-2.820334E-004
-4.120570E-004	7.120000E-001	-2.933846E-004
-4.246864E-004	7.180000E-001	-3.049248E-004
-4.373764E-004	7.240000E-001	-3.166605E-004
-4.502158E-004	7.300000E-001	-3.286575E-004
-4.630788E-004	7.360000E-001	-3.408260E-004
-4.761195E-004	7.420000E-001	-3.532807E-004
-4.891841E-004	7.480000E-001	-3.659097E-004
-5.023753E-004	7.540000E-001	-3.787910E-004
-5.155013E-004	7.600000E-001	-3.917810E-004
-5.288273E-004	7.660000E-001	-4.050817E-004
-5.422007E-004	7.720000E-001	-4.185789E-004
-5.556927E-004	7.780000E-001	-4.323289E-004
-5.692543E-004	7.840000E-001	-4.462954E-004
-5.828741E-004	7.900000E-001	-4.604705E-004
-5.966607E-004	7.960000E-001	-4.749419E-004
-6.103992E-004	8.020000E-001	-4.895402E-004
-6.243283E-004	8.080000E-001	-5.044573E-004
-6.382298E-004	8.140000E-001	-5.195191E-004
-6.524253E-004	8.200000E-001	-5.349887E-004
-6.666204E-004	8.260000E-001	-5.506285E-004
-6.809304E-004	8.320000E-001	-5.665341E-004
-6.953049E-004	8.380000E-001	-5.826655E-004
-7.097450E-004	8.440000E-001	-5.990248E-004
-7.243046E-004	8.500000E-001	-6.156589E-004
-7.388914E-004	8.560000E-001	-6.324910E-004
-7.536495E-004	8.620000E-001	-6.496459E-004
-7.684195E-004	8.680000E-001	-6.669881E-004
-7.834622E-004	8.740000E-001	-6.847460E-004
-7.985150E-004	8.800000E-001	-7.026932E-004
-8.137806E-004	8.860000E-001	-7.210096E-004
-8.291206E-004	8.920000E-001	-7.395756E-004
-8.444354E-004	8.980000E-001	-7.583030E-004
-8.599188E-004	9.040000E-001	-7.773666E-004
-8.754391E-004	9.100000E-001	-7.966496E-004
-8.912386E-004	9.160000E-001	-8.163746E-004
-9.070245E-004	9.220000E-001	-8.362766E-004
-9.229881E-004	9.280000E-001	-8.565330E-004
-9.389995E-004	9.340000E-001	-8.770255E-004
-9.551762E-004	9.400000E-001	-8.978656E-004
-9.714919E-004	9.460000E-001	-9.190313E-004
-9.878769E-004	9.520000E-001	-9.404588E-004
-1.004389E-003	9.580000E-001	-9.622047E-004
-1.021072E-003	9.640000E-001	-9.843134E-004
-1.037849E-003	9.700000E-001	-1.006714E-003
-1.062279E-003	9.760000E-001	-1.036784E-003
-1.079007E-003	9.820000E-001	-1.059585E-003
-1.095899E-003	9.880000E-001	-1.082748E-003
-1.112901E-003	9.940000E-001	-1.106224E-003
