PV Cell Characteristics


Date and Time: 2019-11-18 22:11:16


Model:            g191109-3
Serial Number:    
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           0.502000
Isc(A):           0.000810
Vm(V):            0.250000
Im(A):            0.000401
Pmax(W):          0.000100
Efficiency(%):    0.834839
Fill Factor(%):   24.632949
Jsc(A/m2):        67.512233
Rs(ohm):          634.330372
Rsh(ohm):         609.347389
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)


1.135609E-003	-2.000000E-001	-2.271218E-004
1.124144E-003	-1.940000E-001	-2.180839E-004
1.113463E-003	-1.880000E-001	-2.093310E-004
1.103096E-003	-1.820000E-001	-2.007635E-004
1.092828E-003	-1.760000E-001	-1.923377E-004
1.082897E-003	-1.700000E-001	-1.840925E-004
1.072829E-003	-1.640000E-001	-1.759440E-004
1.062907E-003	-1.580000E-001	-1.679393E-004
1.053139E-003	-1.520000E-001	-1.600771E-004
1.043271E-003	-1.460000E-001	-1.523176E-004
1.033465E-003	-1.400000E-001	-1.446851E-004
1.023756E-003	-1.340000E-001	-1.371833E-004
1.013904E-003	-1.280000E-001	-1.297797E-004
1.004272E-003	-1.220000E-001	-1.225212E-004
9.953238E-004	-1.160000E-001	-1.154576E-004
9.853195E-004	-1.100000E-001	-1.083851E-004
9.757639E-004	-1.040000E-001	-1.014794E-004
9.659152E-004	-9.800000E-002	-9.465969E-005
9.562762E-004	-9.200000E-002	-8.797741E-005
9.465262E-004	-8.600000E-002	-8.140125E-005
9.368551E-004	-8.000000E-002	-7.494841E-005
9.272742E-004	-7.400000E-002	-6.861829E-005
9.176263E-004	-6.800000E-002	-6.239859E-005
9.078724E-004	-6.200000E-002	-5.628809E-005
8.980092E-004	-5.600000E-002	-5.028852E-005
8.882568E-004	-5.000000E-002	-4.441284E-005
8.784026E-004	-4.400000E-002	-3.864971E-005
8.686695E-004	-3.800000E-002	-3.300944E-005
8.588706E-004	-3.200000E-002	-2.748386E-005
8.491667E-004	-2.600000E-002	-2.207833E-005
8.393574E-004	-2.000000E-002	-1.678715E-005
8.297223E-004	-1.400000E-002	-1.161611E-005
8.199622E-004	-8.000000E-003	-6.559698E-006
8.101468E-004	-2.000000E-003	-1.620294E-006
8.002690E-004	4.000000E-003	3.201076E-006
7.904162E-004	1.000000E-002	7.904162E-006
7.806837E-004	1.600000E-002	1.249094E-005
7.707277E-004	2.200000E-002	1.695601E-005
7.610259E-004	2.800000E-002	2.130873E-005
7.510986E-004	3.400000E-002	2.553735E-005
7.413928E-004	4.000000E-002	2.965571E-005
7.316498E-004	4.600000E-002	3.365589E-005
7.219112E-004	5.200000E-002	3.753938E-005
7.122005E-004	5.800000E-002	4.130763E-005
7.023091E-004	6.400000E-002	4.494778E-005
6.926355E-004	7.000000E-002	4.848449E-005
6.827630E-004	7.600000E-002	5.188999E-005
6.730787E-004	8.200000E-002	5.519245E-005
6.632315E-004	8.800000E-002	5.836437E-005
6.534726E-004	9.400000E-002	6.142642E-005
6.437222E-004	1.000000E-001	6.437222E-005
6.340572E-004	1.060000E-001	6.721006E-005
6.243803E-004	1.120000E-001	6.993059E-005
