PV Cell Characteristics


Date and Time: 2019-11-18 22:09:27


Model:            g191109-3
Serial Number:    
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           0.094000
Isc(A):           0.001288
Vm(V):            0.046000
Im(A):            0.000642
Pmax(W):          0.000030
Efficiency(%):    0.246247
Fill Factor(%):   24.397390
Jsc(A/m2):        107.374250
Rs(ohm):          69.202257
Rsh(ohm):         75.523472
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)


3.822044E-003	-2.000000E-001	-7.644088E-004
3.744233E-003	-1.940000E-001	-7.263812E-004
3.666634E-003	-1.880000E-001	-6.893272E-004
3.589862E-003	-1.820000E-001	-6.533549E-004
3.513517E-003	-1.760000E-001	-6.183790E-004
3.436810E-003	-1.700000E-001	-5.842577E-004
3.360736E-003	-1.640000E-001	-5.511607E-004
3.284665E-003	-1.580000E-001	-5.189771E-004
3.208856E-003	-1.520000E-001	-4.877461E-004
3.133568E-003	-1.460000E-001	-4.575009E-004
3.057941E-003	-1.400000E-001	-4.281117E-004
2.981872E-003	-1.340000E-001	-3.995708E-004
2.905723E-003	-1.280000E-001	-3.719325E-004
2.830044E-003	-1.220000E-001	-3.452654E-004
2.754299E-003	-1.160000E-001	-3.194987E-004
2.678528E-003	-1.100000E-001	-2.946381E-004
2.602815E-003	-1.040000E-001	-2.706928E-004
2.526702E-003	-9.800000E-002	-2.476168E-004
2.450643E-003	-9.200000E-002	-2.254592E-004
2.374742E-003	-8.600000E-002	-2.042278E-004
2.298224E-003	-8.000000E-002	-1.838579E-004
2.221486E-003	-7.400000E-002	-1.643900E-004
2.145004E-003	-6.800000E-002	-1.458603E-004
2.068239E-003	-6.200000E-002	-1.282308E-004
1.991637E-003	-5.600000E-002	-1.115317E-004
1.914477E-003	-5.000000E-002	-9.572385E-005
1.837156E-003	-4.400000E-002	-8.083486E-005
1.759244E-003	-3.800000E-002	-6.685127E-005
1.681707E-003	-3.200000E-002	-5.381462E-005
1.603961E-003	-2.600000E-002	-4.170299E-005
1.525109E-003	-2.000000E-002	-3.050218E-005
1.446495E-003	-1.400000E-002	-2.025093E-005
1.367318E-003	-8.000000E-003	-1.093854E-005
1.288491E-003	-2.000000E-003	-2.576982E-006
1.208427E-003	4.000000E-003	4.833708E-006
1.128643E-003	1.000000E-002	1.128643E-005
1.048243E-003	1.600000E-002	1.677189E-005
9.685180E-004	2.200000E-002	2.130740E-005
8.873575E-004	2.800000E-002	2.484601E-005
8.061524E-004	3.400000E-002	2.740918E-005
7.243775E-004	4.000000E-002	2.897510E-005
6.423841E-004	4.600000E-002	2.954967E-005
5.596388E-004	5.200000E-002	2.910122E-005
4.763752E-004	5.800000E-002	2.762976E-005
3.932197E-004	6.400000E-002	2.516606E-005
3.090405E-004	7.000000E-002	2.163284E-005
2.249960E-004	7.600000E-002	1.709970E-005
1.404573E-004	8.200000E-002	1.151750E-005
5.445195E-005	8.800000E-002	4.791772E-006
-1.504849E-005	9.400000E-002	-1.414558E-006
-1.189528E-004	1.000000E-001	-1.189528E-005
-2.060727E-004	1.060000E-001	-2.184371E-005
