PV Cell Characteristics


Date and Time: 2019-11-18 22:17:51


Model:            g191109-4
Serial Number:    
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           0.562000
Isc(A):           0.001906
Vm(V):            0.304000
Im(A):            0.001222
Pmax(W):          0.000372
Efficiency(%):    3.096136
Fill Factor(%):   34.684394
Jsc(A/m2):        158.836250
Rs(ohm):          290.136449
Rsh(ohm):         930.304675
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)


2.031576E-003	-2.000000E-001	-4.063152E-004
2.032760E-003	-1.940000E-001	-3.943554E-004
2.032135E-003	-1.880000E-001	-3.820414E-004
2.031667E-003	-1.820000E-001	-3.697634E-004
2.030716E-003	-1.760000E-001	-3.574060E-004
2.027323E-003	-1.700000E-001	-3.446449E-004
2.025205E-003	-1.640000E-001	-3.321336E-004
2.022175E-003	-1.580000E-001	-3.195037E-004
2.019923E-003	-1.520000E-001	-3.070283E-004
2.017129E-003	-1.460000E-001	-2.945008E-004
2.013466E-003	-1.400000E-001	-2.818852E-004
2.010997E-003	-1.340000E-001	-2.694736E-004
2.007391E-003	-1.280000E-001	-2.569460E-004
2.005077E-003	-1.220000E-001	-2.446194E-004
2.001446E-003	-1.160000E-001	-2.321677E-004
1.996697E-003	-1.100000E-001	-2.196367E-004
1.993018E-003	-1.040000E-001	-2.072739E-004
1.988058E-003	-9.800000E-002	-1.948297E-004
1.984323E-003	-9.200000E-002	-1.825577E-004
1.979790E-003	-8.600000E-002	-1.702619E-004
1.975165E-003	-8.000000E-002	-1.580132E-004
1.971115E-003	-7.400000E-002	-1.458625E-004
1.966479E-003	-6.800000E-002	-1.337206E-004
1.962632E-003	-6.200000E-002	-1.216832E-004
1.957394E-003	-5.600000E-002	-1.096141E-004
1.951127E-003	-5.000000E-002	-9.755635E-005
1.946306E-003	-4.400000E-002	-8.563746E-005
1.940657E-003	-3.800000E-002	-7.374497E-005
1.935379E-003	-3.200000E-002	-6.193213E-005
1.929473E-003	-2.600000E-002	-5.016630E-005
1.923121E-003	-2.000000E-002	-3.846242E-005
1.917857E-003	-1.400000E-002	-2.685000E-005
1.911708E-003	-8.000000E-003	-1.529366E-005
1.906035E-003	-2.000000E-003	-3.812070E-006
1.898809E-003	4.000000E-003	7.595236E-006
1.891321E-003	1.000000E-002	1.891321E-005
1.884245E-003	1.600000E-002	3.014792E-005
1.876530E-003	2.200000E-002	4.128366E-005
1.869412E-003	2.800000E-002	5.234354E-005
1.861392E-003	3.400000E-002	6.328733E-005
1.854007E-003	4.000000E-002	7.416028E-005
1.846341E-003	4.600000E-002	8.493169E-005
1.838737E-003	5.200000E-002	9.561432E-005
1.831359E-003	5.800000E-002	1.062188E-004
1.822560E-003	6.400000E-002	1.166438E-004
1.813568E-003	7.000000E-002	1.269498E-004
1.804691E-003	7.600000E-002	1.371565E-004
1.795727E-003	8.200000E-002	1.472496E-004
1.786442E-003	8.800000E-002	1.572069E-004
1.776429E-003	9.400000E-002	1.669843E-004
1.766641E-003	1.000000E-001	1.766641E-004
1.756601E-003	1.060000E-001	1.861997E-004
1.746739E-003	1.120000E-001	1.956348E-004
