PV Cell Characteristics


Date and Time: 2019-11-18 22:10:43


Model:            g191109-3
Serial Number:    
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           0.496000
Isc(A):           0.000628
Vm(V):            0.250000
Im(A):            0.000318
Pmax(W):          0.000079
Efficiency(%):    0.661654
Fill Factor(%):   25.476951
Jsc(A/m2):        52.360242
Rs(ohm):          824.359267
Rsh(ohm):         868.533048
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)


8.000165E-004	-2.000000E-001	-1.600033E-004
7.983347E-004	-1.940000E-001	-1.548769E-004
7.965980E-004	-1.880000E-001	-1.497604E-004
7.940432E-004	-1.820000E-001	-1.445159E-004
7.914897E-004	-1.760000E-001	-1.393022E-004
7.881523E-004	-1.700000E-001	-1.339859E-004
7.848478E-004	-1.640000E-001	-1.287150E-004
7.807598E-004	-1.580000E-001	-1.233600E-004
7.766694E-004	-1.520000E-001	-1.180537E-004
7.721734E-004	-1.460000E-001	-1.127373E-004
7.676407E-004	-1.400000E-001	-1.074697E-004
7.625994E-004	-1.340000E-001	-1.021883E-004
7.577611E-004	-1.280000E-001	-9.699342E-005
7.525472E-004	-1.220000E-001	-9.181076E-005
7.475800E-004	-1.160000E-001	-8.671928E-005
7.421369E-004	-1.100000E-001	-8.163506E-005
7.366397E-004	-1.040000E-001	-7.661053E-005
7.310245E-004	-9.800000E-002	-7.164040E-005
7.250458E-004	-9.200000E-002	-6.670421E-005
7.192433E-004	-8.600000E-002	-6.185492E-005
7.131152E-004	-8.000000E-002	-5.704922E-005
7.070468E-004	-7.400000E-002	-5.232146E-005
7.007775E-004	-6.800000E-002	-4.765287E-005
6.945512E-004	-6.200000E-002	-4.306217E-005
6.883951E-004	-5.600000E-002	-3.855013E-005
6.818333E-004	-5.000000E-002	-3.409167E-005
6.753122E-004	-4.400000E-002	-2.971374E-005
6.687701E-004	-3.800000E-002	-2.541326E-005
6.621729E-004	-3.200000E-002	-2.118953E-005
6.554757E-004	-2.600000E-002	-1.704237E-005
6.488402E-004	-2.000000E-002	-1.297680E-005
6.419771E-004	-1.400000E-002	-8.987679E-006
6.352802E-004	-8.000000E-003	-5.082242E-006
6.283229E-004	-2.000000E-003	-1.256646E-006
6.214638E-004	4.000000E-003	2.485855E-006
6.144696E-004	1.000000E-002	6.144696E-006
6.073660E-004	1.600000E-002	9.717856E-006
6.004696E-004	2.200000E-002	1.321033E-005
5.932774E-004	2.800000E-002	1.661177E-005
5.863953E-004	3.400000E-002	1.993744E-005
5.790697E-004	4.000000E-002	2.316279E-005
5.719396E-004	4.600000E-002	2.630922E-005
5.647047E-004	5.200000E-002	2.936464E-005
5.575467E-004	5.800000E-002	3.233771E-005
5.503479E-004	6.400000E-002	3.522227E-005
5.430031E-004	7.000000E-002	3.801022E-005
5.356763E-004	7.600000E-002	4.071140E-005
5.283477E-004	8.200000E-002	4.332451E-005
5.210545E-004	8.800000E-002	4.585280E-005
5.136785E-004	9.400000E-002	4.828578E-005
5.062972E-004	1.000000E-001	5.062972E-005
4.988609E-004	1.060000E-001	5.287926E-005
4.915525E-004	1.120000E-001	5.505388E-005
