PV Cell Characteristics


Date and Time: 2019-11-18 22:15:04


Model:            g191109-1
Serial Number:    
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           0.376000
Isc(A):           0.000537
Vm(V):            0.190000
Im(A):            0.000278
Pmax(W):          0.000053
Efficiency(%):    0.439806
Fill Factor(%):   26.134349
Jsc(A/m2):        44.757050
Rs(ohm):          640.937033
Rsh(ohm):         767.415536
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)


7.885444E-004	-2.000000E-001	-1.577089E-004
7.805986E-004	-1.940000E-001	-1.514361E-004
7.727821E-004	-1.880000E-001	-1.452830E-004
7.651884E-004	-1.820000E-001	-1.392643E-004
7.574365E-004	-1.760000E-001	-1.333088E-004
7.496540E-004	-1.700000E-001	-1.274412E-004
7.421326E-004	-1.640000E-001	-1.217097E-004
7.344579E-004	-1.580000E-001	-1.160443E-004
7.269758E-004	-1.520000E-001	-1.105003E-004
7.193338E-004	-1.460000E-001	-1.050227E-004
7.118608E-004	-1.400000E-001	-9.966051E-005
7.043742E-004	-1.340000E-001	-9.438614E-005
6.969625E-004	-1.280000E-001	-8.921120E-005
6.894285E-004	-1.220000E-001	-8.411028E-005
6.818045E-004	-1.160000E-001	-7.908932E-005
6.742263E-004	-1.100000E-001	-7.416489E-005
6.666751E-004	-1.040000E-001	-6.933421E-005
6.590746E-004	-9.800000E-002	-6.458931E-005
6.514033E-004	-9.200000E-002	-5.992910E-005
6.438865E-004	-8.600000E-002	-5.537424E-005
6.362730E-004	-8.000000E-002	-5.090184E-005
6.288767E-004	-7.400000E-002	-4.653688E-005
6.213275E-004	-6.800000E-002	-4.225027E-005
6.137648E-004	-6.200000E-002	-3.805342E-005
6.060184E-004	-5.600000E-002	-3.393703E-005
5.983750E-004	-5.000000E-002	-2.991875E-005
5.907789E-004	-4.400000E-002	-2.599427E-005
5.830267E-004	-3.800000E-002	-2.215501E-005
5.755092E-004	-3.200000E-002	-1.841629E-005
5.677335E-004	-2.600000E-002	-1.476107E-005
5.601635E-004	-2.000000E-002	-1.120327E-005
5.525222E-004	-1.400000E-002	-7.735311E-006
5.448345E-004	-8.000000E-003	-4.358676E-006
5.370846E-004	-2.000000E-003	-1.074169E-006
5.291976E-004	4.000000E-003	2.116790E-006
5.214782E-004	1.000000E-002	5.214782E-006
5.136115E-004	1.600000E-002	8.217784E-006
5.058187E-004	2.200000E-002	1.112801E-005
4.979200E-004	2.800000E-002	1.394176E-005
4.901308E-004	3.400000E-002	1.666445E-005
4.822634E-004	4.000000E-002	1.929054E-005
4.745353E-004	4.600000E-002	2.182862E-005
4.666515E-004	5.200000E-002	2.426588E-005
4.587686E-004	5.800000E-002	2.660858E-005
4.507872E-004	6.400000E-002	2.885038E-005
4.428007E-004	7.000000E-002	3.099605E-005
4.348363E-004	7.600000E-002	3.304756E-005
4.267358E-004	8.200000E-002	3.499234E-005
4.187679E-004	8.800000E-002	3.685158E-005
4.106056E-004	9.400000E-002	3.859693E-005
4.025984E-004	1.000000E-001	4.025984E-005
3.945186E-004	1.060000E-001	4.181897E-005
3.864167E-004	1.120000E-001	4.327867E-005
