PV Cell Characteristics


Date and Time: 2019-11-18 22:09:41


Model:            g191109-3
Serial Number:    
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           0.040000
Isc(A):           0.000244
Vm(V):            0.022000
Im(A):            0.000114
Pmax(W):          0.000003
Efficiency(%):    0.020985
Fill Factor(%):   25.771909
Jsc(A/m2):        20.356300
Rs(ohm):          180.715026
Rsh(ohm):         187.287546
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)


1.256321E-003	-2.000000E-001	-2.512642E-004
1.225373E-003	-1.940000E-001	-2.377224E-004
1.194413E-003	-1.880000E-001	-2.245496E-004
1.163438E-003	-1.820000E-001	-2.117457E-004
1.132614E-003	-1.760000E-001	-1.993401E-004
1.101946E-003	-1.700000E-001	-1.873308E-004
1.071378E-003	-1.640000E-001	-1.757060E-004
1.040800E-003	-1.580000E-001	-1.644464E-004
1.010325E-003	-1.520000E-001	-1.535694E-004
9.808823E-004	-1.460000E-001	-1.432088E-004
9.502113E-004	-1.400000E-001	-1.330296E-004
9.198161E-004	-1.340000E-001	-1.232554E-004
8.893659E-004	-1.280000E-001	-1.138388E-004
8.590514E-004	-1.220000E-001	-1.048043E-004
8.286818E-004	-1.160000E-001	-9.612709E-005
7.984181E-004	-1.100000E-001	-8.782599E-005
7.681553E-004	-1.040000E-001	-7.988815E-005
7.377841E-004	-9.800000E-002	-7.230284E-005
7.075046E-004	-9.200000E-002	-6.509042E-005
6.772266E-004	-8.600000E-002	-5.824149E-005
6.469293E-004	-8.000000E-002	-5.175434E-005
6.165258E-004	-7.400000E-002	-4.562291E-005
5.861199E-004	-6.800000E-002	-3.985615E-005
5.556152E-004	-6.200000E-002	-3.444814E-005
5.251113E-004	-5.600000E-002	-2.940623E-005
4.944790E-004	-5.000000E-002	-2.472395E-005
4.636358E-004	-4.400000E-002	-2.039998E-005
4.327142E-004	-3.800000E-002	-1.644314E-005
4.016697E-004	-3.200000E-002	-1.285343E-005
3.705667E-004	-2.600000E-002	-9.634734E-006
3.392073E-004	-2.000000E-002	-6.784146E-006
3.077714E-004	-1.400000E-002	-4.308800E-006
2.760297E-004	-8.000000E-003	-2.208238E-006
2.442756E-004	-2.000000E-003	-4.885512E-007
2.119571E-004	4.000000E-003	8.478284E-007
1.798070E-004	1.000000E-002	1.798070E-006
1.472741E-004	1.600000E-002	2.356386E-006
1.144627E-004	2.200000E-002	2.518179E-006
8.159372E-005	2.800000E-002	2.284624E-006
4.881515E-005	3.400000E-002	1.659715E-006
1.531931E-005	4.000000E-002	6.127724E-007
-1.758774E-005	4.600000E-002	-8.090360E-007
-5.308930E-005	5.200000E-002	-2.760644E-006
-8.771667E-005	5.800000E-002	-5.087567E-006
-1.233807E-004	6.400000E-002	-7.896365E-006
-1.589009E-004	7.000000E-002	-1.112306E-005
-1.946860E-004	7.600000E-002	-1.479614E-005
-2.306925E-004	8.200000E-002	-1.891679E-005
-2.671572E-004	8.800000E-002	-2.350983E-005
-3.040167E-004	9.400000E-002	-2.857757E-005
-3.413114E-004	1.000000E-001	-3.413114E-005
-3.791106E-004	1.060000E-001	-4.018572E-005
