PV Cell Characteristics


Date and Time: 2019-11-18 19:33:50


Model:            g191113-4-1
Serial Number:    6
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           0.520000
Isc(A):           0.003352
Vm(V):            0.394000
Im(A):            0.002900
Pmax(W):          0.001142
Efficiency(%):    9.520810
Fill Factor(%):   65.549172
Jsc(A/m2):        279.320833
Rs(ohm):          25.335190
Rsh(ohm):         2466.598150
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)
2.506715E-004	5.140000E-001	1.288452E-004
1.736475E-005	5.200000E-001	9.029670E-006
-2.229780E-004	5.260000E-001	-1.172864E-004
-4.710514E-004	5.320000E-001	-2.505993E-004
-7.256972E-004	5.380000E-001	-3.904251E-004
-9.874307E-004	5.440000E-001	-5.371623E-004
-1.258124E-003	5.500000E-001	-6.919682E-004
-1.533693E-003	5.560000E-001	-8.527333E-004
-1.814409E-003	5.620000E-001	-1.019698E-003
-2.101952E-003	5.680000E-001	-1.193909E-003
-2.394611E-003	5.740000E-001	-1.374507E-003
-2.691402E-003	5.800000E-001	-1.561013E-003
-2.992183E-003	5.860000E-001	-1.753419E-003
-3.297621E-003	5.920000E-001	-1.952192E-003
-3.606278E-003	5.980000E-001	-2.156554E-003
-3.920415E-003	6.040000E-001	-2.367931E-003
-4.236460E-003	6.100000E-001	-2.584241E-003
-4.555514E-003	6.160000E-001	-2.806197E-003
-4.877317E-003	6.220000E-001	-3.033691E-003
-5.201333E-003	6.280000E-001	-3.266437E-003
-5.527580E-003	6.340000E-001	-3.504486E-003
-5.855856E-003	6.400000E-001	-3.747748E-003
-6.184557E-003	6.460000E-001	-3.995224E-003
-6.514763E-003	6.520000E-001	-4.247625E-003
-6.846253E-003	6.580000E-001	-4.504834E-003
-7.178682E-003	6.640000E-001	-4.766645E-003
-7.512986E-003	6.700000E-001	-5.033701E-003
-7.849194E-003	6.760000E-001	-5.306055E-003
-8.185009E-003	6.820000E-001	-5.582176E-003
-8.521731E-003	6.880000E-001	-5.862951E-003
