PV Cell Characteristics


Date and Time: 2019-11-18 19:34:15


Model:            g191113-4-1
Serial Number:    7
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           0.520000
Isc(A):           0.003385
Vm(V):            0.352000
Im(A):            0.002721
Pmax(W):          0.000958
Efficiency(%):    7.982307
Fill Factor(%):   54.422125
Jsc(A/m2):        282.065250
Rs(ohm):          42.390050
Rsh(ohm):         2074.330164
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)


3.437513E-003	-2.000000E-001	-6.875026E-004
3.436631E-003	-1.940000E-001	-6.667064E-004
3.434787E-003	-1.880000E-001	-6.457400E-004
3.433726E-003	-1.820000E-001	-6.249381E-004
3.432496E-003	-1.760000E-001	-6.041193E-004
3.430689E-003	-1.700000E-001	-5.832171E-004
3.430327E-003	-1.640000E-001	-5.625736E-004
3.430384E-003	-1.580000E-001	-5.420007E-004
3.430547E-003	-1.520000E-001	-5.214431E-004
3.429187E-003	-1.460000E-001	-5.006613E-004
3.425952E-003	-1.400000E-001	-4.796333E-004
3.425062E-003	-1.340000E-001	-4.589583E-004
3.423409E-003	-1.280000E-001	-4.381964E-004
3.421399E-003	-1.220000E-001	-4.174107E-004
3.420116E-003	-1.160000E-001	-3.967335E-004
3.417906E-003	-1.100000E-001	-3.759697E-004
3.417020E-003	-1.040000E-001	-3.553701E-004
3.416894E-003	-9.800000E-002	-3.348556E-004
3.415823E-003	-9.200000E-002	-3.142557E-004
3.414004E-003	-8.600000E-002	-2.936043E-004
3.410927E-003	-8.000000E-002	-2.728742E-004
3.409360E-003	-7.400000E-002	-2.522926E-004
3.407272E-003	-6.800000E-002	-2.316945E-004
3.404724E-003	-6.200000E-002	-2.110929E-004
3.403292E-003	-5.600000E-002	-1.905844E-004
3.400869E-003	-5.000000E-002	-1.700435E-004
3.400052E-003	-4.400000E-002	-1.496023E-004
3.399898E-003	-3.800000E-002	-1.291961E-004
3.398191E-003	-3.200000E-002	-1.087421E-004
3.395146E-003	-2.600000E-002	-8.827380E-005
3.392070E-003	-2.000000E-002	-6.784140E-005
3.390236E-003	-1.400000E-002	-4.746330E-005
3.387759E-003	-8.000000E-003	-2.710207E-005
3.384783E-003	-2.000000E-003	-6.769566E-006
3.381974E-003	4.000000E-003	1.352790E-005
3.379388E-003	1.000000E-002	3.379388E-005
3.377998E-003	1.600000E-002	5.404797E-005
3.377685E-003	2.200000E-002	7.430907E-005
3.376352E-003	2.800000E-002	9.453786E-005
3.372855E-003	3.400000E-002	1.146771E-004
3.368560E-003	4.000000E-002	1.347424E-004
3.365042E-003	4.600000E-002	1.547919E-004
3.361501E-003	5.200000E-002	1.747981E-004
3.357868E-003	5.800000E-002	1.947563E-004
3.354645E-003	6.400000E-002	2.146973E-004
3.350911E-003	7.000000E-002	2.345638E-004
3.348630E-003	7.600000E-002	2.544959E-004
3.346555E-003	8.200000E-002	2.744175E-004
3.343113E-003	8.800000E-002	2.941939E-004
3.337663E-003	9.400000E-002	3.137403E-004
3.333419E-003	1.000000E-001	3.333419E-004
3.329837E-003	1.060000E-001	3.529627E-004
