PV Cell Characteristics


Date and Time: 2019-11-18 19:32:46


Model:            g191113-4-1
Serial Number:    3
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           0.538000
Isc(A):           0.003307
Vm(V):            0.358000
Im(A):            0.002756
Pmax(W):          0.000987
Efficiency(%):    8.221130
Fill Factor(%):   55.445656
Jsc(A/m2):        275.601583
Rs(ohm):          46.498760
Rsh(ohm):         4597.701149
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)


3.345950E-003	-2.000000E-001	-6.691900E-004
3.344580E-003	-1.940000E-001	-6.488485E-004
3.342720E-003	-1.880000E-001	-6.284314E-004
3.341779E-003	-1.820000E-001	-6.082038E-004
3.340474E-003	-1.760000E-001	-5.879234E-004
3.339551E-003	-1.700000E-001	-5.677237E-004
3.337734E-003	-1.640000E-001	-5.473884E-004
3.336231E-003	-1.580000E-001	-5.271245E-004
3.335883E-003	-1.520000E-001	-5.070542E-004
3.334833E-003	-1.460000E-001	-4.868856E-004
3.335832E-003	-1.400000E-001	-4.670165E-004
3.333215E-003	-1.340000E-001	-4.466508E-004
3.330983E-003	-1.280000E-001	-4.263658E-004
3.329906E-003	-1.220000E-001	-4.062485E-004
3.327235E-003	-1.160000E-001	-3.859593E-004
3.326623E-003	-1.100000E-001	-3.659285E-004
3.324705E-003	-1.040000E-001	-3.457693E-004
3.323636E-003	-9.800000E-002	-3.257163E-004
3.324304E-003	-9.200000E-002	-3.058360E-004
3.324129E-003	-8.600000E-002	-2.858751E-004
3.324643E-003	-8.000000E-002	-2.659714E-004
3.321995E-003	-7.400000E-002	-2.458276E-004
3.320236E-003	-6.800000E-002	-2.257760E-004
3.319376E-003	-6.200000E-002	-2.058013E-004
3.317413E-003	-5.600000E-002	-1.857751E-004
3.317266E-003	-5.000000E-002	-1.658633E-004
3.315498E-003	-4.400000E-002	-1.458819E-004
3.313909E-003	-3.800000E-002	-1.259285E-004
3.313981E-003	-3.200000E-002	-1.060474E-004
3.312884E-003	-2.600000E-002	-8.613498E-005
3.311933E-003	-2.000000E-002	-6.623866E-005
3.308628E-003	-1.400000E-002	-4.632079E-005
3.307458E-003	-8.000000E-003	-2.645966E-005
3.307219E-003	-2.000000E-003	-6.614438E-006
3.304848E-003	4.000000E-003	1.321939E-005
3.304209E-003	1.000000E-002	3.304209E-005
3.301771E-003	1.600000E-002	5.282834E-005
3.300147E-003	2.200000E-002	7.260323E-005
3.299488E-003	2.800000E-002	9.238566E-005
3.298785E-003	3.400000E-002	1.121587E-004
3.297363E-003	4.000000E-002	1.318945E-004
3.293904E-003	4.600000E-002	1.515196E-004
3.291795E-003	5.200000E-002	1.711733E-004
3.290275E-003	5.800000E-002	1.908360E-004
3.287481E-003	6.400000E-002	2.103988E-004
3.285605E-003	7.000000E-002	2.299924E-004
3.282671E-003	7.600000E-002	2.494830E-004
3.280177E-003	8.200000E-002	2.689745E-004
3.279555E-003	8.800000E-002	2.886008E-004
3.277984E-003	9.400000E-002	3.081305E-004
3.275490E-003	1.000000E-001	3.275490E-004
3.271124E-003	1.060000E-001	3.467391E-004
