PV Cell Characteristics


Date and Time: 2019-11-18 19:33:04


Model:            g191113-4-1
Serial Number:    4
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           0.538000
Isc(A):           0.003292
Vm(V):            0.370000
Im(A):            0.002753
Pmax(W):          0.001019
Efficiency(%):    8.488975
Fill Factor(%):   57.524899
Jsc(A/m2):        274.294500
Rs(ohm):          42.323295
Rsh(ohm):         11039.558418
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)


3.327472E-003	-2.000000E-001	-6.654944E-004
3.328125E-003	-1.940000E-001	-6.456563E-004
3.326426E-003	-1.880000E-001	-6.253681E-004
3.326929E-003	-1.820000E-001	-6.055011E-004
3.328561E-003	-1.760000E-001	-5.858267E-004
3.326762E-003	-1.700000E-001	-5.655495E-004
3.325764E-003	-1.640000E-001	-5.454253E-004
3.323523E-003	-1.580000E-001	-5.251166E-004
3.322943E-003	-1.520000E-001	-5.050873E-004
3.321715E-003	-1.460000E-001	-4.849704E-004
3.319704E-003	-1.400000E-001	-4.647586E-004
3.319176E-003	-1.340000E-001	-4.447696E-004
3.317493E-003	-1.280000E-001	-4.246391E-004
3.318179E-003	-1.220000E-001	-4.048178E-004
3.318506E-003	-1.160000E-001	-3.849467E-004
3.315933E-003	-1.100000E-001	-3.647526E-004
3.313793E-003	-1.040000E-001	-3.446345E-004
3.312010E-003	-9.800000E-002	-3.245770E-004
3.311430E-003	-9.200000E-002	-3.046516E-004
3.310467E-003	-8.600000E-002	-2.847002E-004
3.308970E-003	-8.000000E-002	-2.647176E-004
3.307938E-003	-7.400000E-002	-2.447874E-004
3.306003E-003	-6.800000E-002	-2.248082E-004
3.306478E-003	-6.200000E-002	-2.050016E-004
3.305447E-003	-5.600000E-002	-1.851050E-004
3.302526E-003	-5.000000E-002	-1.651263E-004
3.301033E-003	-4.400000E-002	-1.452455E-004
3.298061E-003	-3.800000E-002	-1.253263E-004
3.297282E-003	-3.200000E-002	-1.055130E-004
3.294910E-003	-2.600000E-002	-8.566766E-005
3.292920E-003	-2.000000E-002	-6.585840E-005
3.292434E-003	-1.400000E-002	-4.609408E-005
3.290625E-003	-8.000000E-003	-2.632500E-005
3.291534E-003	-2.000000E-003	-6.583068E-006
3.289538E-003	4.000000E-003	1.315815E-005
3.286993E-003	1.000000E-002	3.286993E-005
3.285556E-003	1.600000E-002	5.256890E-005
3.282798E-003	2.200000E-002	7.222156E-005
3.282125E-003	2.800000E-002	9.189950E-005
3.279362E-003	3.400000E-002	1.114983E-004
3.277248E-003	4.000000E-002	1.310899E-004
3.276269E-003	4.600000E-002	1.507084E-004
3.274463E-003	5.200000E-002	1.702721E-004
3.275994E-003	5.800000E-002	1.900077E-004
3.273815E-003	6.400000E-002	2.095242E-004
3.270713E-003	7.000000E-002	2.289499E-004
3.269499E-003	7.600000E-002	2.484819E-004
3.266144E-003	8.200000E-002	2.678238E-004
3.265645E-003	8.800000E-002	2.873768E-004
3.262894E-003	9.400000E-002	3.067120E-004
3.260478E-003	1.000000E-001	3.260478E-004
3.259198E-003	1.060000E-001	3.454750E-004
