PV Cell Characteristics


Date and Time: 2019-11-18 19:33:29


Model:            g191113-4-1
Serial Number:    5
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           0.544000
Isc(A):           0.003385
Vm(V):            0.388000
Im(A):            0.002864
Pmax(W):          0.001111
Efficiency(%):    9.259639
Fill Factor(%):   60.341283
Jsc(A/m2):        282.085417
Rs(ohm):          34.122366
Rsh(ohm):         3415.883860
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)


3.430261E-003	-2.000000E-001	-6.860522E-004
3.428944E-003	-1.940000E-001	-6.652151E-004
3.426681E-003	-1.880000E-001	-6.442160E-004
3.425663E-003	-1.820000E-001	-6.234707E-004
3.424099E-003	-1.760000E-001	-6.026414E-004
3.422627E-003	-1.700000E-001	-5.818466E-004
3.421361E-003	-1.640000E-001	-5.611032E-004
3.419778E-003	-1.580000E-001	-5.403249E-004
3.419311E-003	-1.520000E-001	-5.197353E-004
3.419950E-003	-1.460000E-001	-4.993127E-004
3.419522E-003	-1.400000E-001	-4.787331E-004
3.417600E-003	-1.340000E-001	-4.579584E-004
3.415385E-003	-1.280000E-001	-4.371693E-004
3.414671E-003	-1.220000E-001	-4.165899E-004
3.411817E-003	-1.160000E-001	-3.957708E-004
3.410458E-003	-1.100000E-001	-3.751504E-004
3.408227E-003	-1.040000E-001	-3.544556E-004
3.406623E-003	-9.800000E-002	-3.338491E-004
3.406716E-003	-9.200000E-002	-3.134179E-004
3.405674E-003	-8.600000E-002	-2.928880E-004
3.404026E-003	-8.000000E-002	-2.723221E-004
3.400795E-003	-7.400000E-002	-2.516588E-004
3.399740E-003	-6.800000E-002	-2.311823E-004
3.398168E-003	-6.200000E-002	-2.106864E-004
3.395855E-003	-5.600000E-002	-1.901679E-004
3.395171E-003	-5.000000E-002	-1.697586E-004
3.392797E-003	-4.400000E-002	-1.492831E-004
3.391823E-003	-3.800000E-002	-1.288893E-004
3.392169E-003	-3.200000E-002	-1.085494E-004
3.391866E-003	-2.600000E-002	-8.818852E-005
3.391234E-003	-2.000000E-002	-6.782468E-005
3.387700E-003	-1.400000E-002	-4.742780E-005
3.385969E-003	-8.000000E-003	-2.708775E-005
3.385025E-003	-2.000000E-003	-6.770050E-006
3.382456E-003	4.000000E-003	1.352982E-005
3.382192E-003	1.000000E-002	3.382192E-005
3.379979E-003	1.600000E-002	5.407966E-005
3.378575E-003	2.200000E-002	7.432865E-005
3.378262E-003	2.800000E-002	9.459134E-005
3.376922E-003	3.400000E-002	1.148153E-004
3.375314E-003	4.000000E-002	1.350126E-004
3.371101E-003	4.600000E-002	1.550706E-004
3.369674E-003	5.200000E-002	1.752230E-004
3.367118E-003	5.800000E-002	1.952928E-004
3.364881E-003	6.400000E-002	2.153524E-004
3.363483E-003	7.000000E-002	2.354438E-004
3.360800E-003	7.600000E-002	2.554208E-004
3.360024E-003	8.200000E-002	2.755220E-004
3.359734E-003	8.800000E-002	2.956566E-004
3.358753E-003	9.400000E-002	3.157228E-004
3.356177E-003	1.000000E-001	3.356177E-004
3.352284E-003	1.060000E-001	3.553421E-004
