PV Cell Characteristics


Date and Time: 2019-11-18 22:14:22


Model:            g191109-1
Serial Number:    
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           0.028000
Isc(A):           0.000263
Vm(V):            0.016000
Im(A):            0.000114
Pmax(W):          0.000002
Efficiency(%):    0.015244
Fill Factor(%):   24.817430
Jsc(A/m2):        21.937558
Rs(ohm):          120.300993
Rsh(ohm):         122.736408
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)


1.802865E-003	-2.000000E-001	-3.605730E-004
1.755416E-003	-1.940000E-001	-3.405507E-004
1.707424E-003	-1.880000E-001	-3.209957E-004
1.658981E-003	-1.820000E-001	-3.019345E-004
1.610820E-003	-1.760000E-001	-2.835043E-004
1.562751E-003	-1.700000E-001	-2.656677E-004
1.515130E-003	-1.640000E-001	-2.484813E-004
1.467964E-003	-1.580000E-001	-2.319383E-004
1.420685E-003	-1.520000E-001	-2.159441E-004
1.373591E-003	-1.460000E-001	-2.005443E-004
1.326605E-003	-1.400000E-001	-1.857247E-004
1.279895E-003	-1.340000E-001	-1.715059E-004
1.233314E-003	-1.280000E-001	-1.578642E-004
1.187057E-003	-1.220000E-001	-1.448210E-004
1.141051E-003	-1.160000E-001	-1.323619E-004
1.095183E-003	-1.100000E-001	-1.204701E-004
1.049438E-003	-1.040000E-001	-1.091416E-004
1.003659E-003	-9.800000E-002	-9.835858E-005
9.593880E-004	-9.200000E-002	-8.826370E-005
9.137560E-004	-8.600000E-002	-7.858302E-005
8.683481E-004	-8.000000E-002	-6.946785E-005
8.227344E-004	-7.400000E-002	-6.088235E-005
7.771768E-004	-6.800000E-002	-5.284802E-005
7.313843E-004	-6.200000E-002	-4.534583E-005
6.856851E-004	-5.600000E-002	-3.839837E-005
6.398392E-004	-5.000000E-002	-3.199196E-005
5.937706E-004	-4.400000E-002	-2.612591E-005
5.475839E-004	-3.800000E-002	-2.080819E-005
5.011809E-004	-3.200000E-002	-1.603779E-005
4.545022E-004	-2.600000E-002	-1.181706E-005
4.073050E-004	-2.000000E-002	-8.146100E-006
3.597173E-004	-1.400000E-002	-5.036042E-006
3.116714E-004	-8.000000E-003	-2.493371E-006
2.632507E-004	-2.000000E-003	-5.265014E-007
2.139009E-004	4.000000E-003	8.556036E-007
1.645997E-004	1.000000E-002	1.645997E-006
1.143311E-004	1.600000E-002	1.829298E-006
6.379287E-005	2.200000E-002	1.403443E-006
1.482753E-005	2.800000E-002	4.151708E-007
-3.595693E-005	3.400000E-002	-1.222536E-006
-9.119466E-005	4.000000E-002	-3.647786E-006
-1.486668E-004	4.600000E-002	-6.838673E-006
-2.044792E-004	5.200000E-002	-1.063292E-005
-2.606222E-004	5.800000E-002	-1.511609E-005
-3.180275E-004	6.400000E-002	-2.035376E-005
-3.763988E-004	7.000000E-002	-2.634792E-005
-4.361520E-004	7.600000E-002	-3.314755E-005
-4.968744E-004	8.200000E-002	-4.074370E-005
-5.588048E-004	8.800000E-002	-4.917482E-005
-6.218383E-004	9.400000E-002	-5.845280E-005
-6.859021E-004	1.000000E-001	-6.859021E-005
-7.514337E-004	1.060000E-001	-7.965197E-005
