PV Cell Characteristics


Date and Time: 2019-11-18 22:14:42


Model:            g191109-1
Serial Number:    
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           0.016000
Isc(A):           0.000132
Vm(V):            0.004000
Im(A):            0.000078
Pmax(W):          0.000000
Efficiency(%):    0.002601
Fill Factor(%):   14.737200
Jsc(A/m2):        11.030425
Rs(ohm):          107.890878
Rsh(ohm):         111.410827
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)


1.814726E-003	-2.000000E-001	-3.629452E-004
1.765392E-003	-1.940000E-001	-3.424860E-004
1.714928E-003	-1.880000E-001	-3.224065E-004
1.664030E-003	-1.820000E-001	-3.028535E-004
1.613052E-003	-1.760000E-001	-2.838972E-004
1.561982E-003	-1.700000E-001	-2.655369E-004
1.511182E-003	-1.640000E-001	-2.478338E-004
1.460275E-003	-1.580000E-001	-2.307235E-004
1.409156E-003	-1.520000E-001	-2.141917E-004
1.358138E-003	-1.460000E-001	-1.982881E-004
1.307259E-003	-1.400000E-001	-1.830163E-004
1.256474E-003	-1.340000E-001	-1.683675E-004
1.205775E-003	-1.280000E-001	-1.543392E-004
1.155096E-003	-1.220000E-001	-1.409217E-004
1.104603E-003	-1.160000E-001	-1.281339E-004
1.054336E-003	-1.100000E-001	-1.159770E-004
1.003933E-003	-1.040000E-001	-1.044090E-004
9.547123E-004	-9.800000E-002	-9.356181E-005
9.043391E-004	-9.200000E-002	-8.319920E-005
8.538631E-004	-8.600000E-002	-7.343223E-005
8.034639E-004	-8.000000E-002	-6.427711E-005
7.528113E-004	-7.400000E-002	-5.570804E-005
7.023150E-004	-6.800000E-002	-4.775742E-005
6.516752E-004	-6.200000E-002	-4.040386E-005
6.010077E-004	-5.600000E-002	-3.365643E-005
5.502074E-004	-5.000000E-002	-2.751037E-005
4.990525E-004	-4.400000E-002	-2.195831E-005
4.475816E-004	-3.800000E-002	-1.700810E-005
3.958467E-004	-3.200000E-002	-1.266709E-005
3.439305E-004	-2.600000E-002	-8.942193E-006
2.915628E-004	-2.000000E-002	-5.831256E-006
2.388266E-004	-1.400000E-002	-3.343572E-006
1.857371E-004	-8.000000E-003	-1.485897E-006
1.323651E-004	-2.000000E-003	-2.647302E-007
7.802764E-005	4.000000E-003	3.121106E-007
2.713382E-005	1.000000E-002	2.713382E-007
-2.574335E-005	1.600000E-002	-4.118936E-007
-8.408967E-005	2.200000E-002	-1.849973E-006
-1.440816E-004	2.800000E-002	-4.034285E-006
-2.017357E-004	3.400000E-002	-6.859014E-006
-2.599451E-004	4.000000E-002	-1.039780E-005
-3.190021E-004	4.600000E-002	-1.467410E-005
-3.790421E-004	5.200000E-002	-1.971019E-005
-4.396499E-004	5.800000E-002	-2.549969E-005
-5.012653E-004	6.400000E-002	-3.208098E-005
-5.637638E-004	7.000000E-002	-3.946347E-005
-6.272436E-004	7.600000E-002	-4.767051E-005
-6.913733E-004	8.200000E-002	-5.669261E-005
-7.565981E-004	8.800000E-002	-6.658063E-005
-8.228422E-004	9.400000E-002	-7.734717E-005
-8.901521E-004	1.000000E-001	-8.901521E-005
