PV Cell Characteristics


Date and Time: 2019-11-18 19:32:24


Model:            g191113-4-1
Serial Number:    2
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           0.538000
Isc(A):           0.003307
Vm(V):            0.364000
Im(A):            0.002775
Pmax(W):          0.001010
Efficiency(%):    8.416202
Fill Factor(%):   56.773413
Jsc(A/m2):        275.542667
Rs(ohm):          42.543839
Rsh(ohm):         8639.308855
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)
5.035211E-004	5.140000E-001	2.588098E-004
3.705561E-004	5.200000E-001	1.926892E-004
2.354580E-004	5.260000E-001	1.238509E-004
9.680189E-005	5.320000E-001	5.149861E-005
-4.355359E-005	5.380000E-001	-2.343183E-005
-1.852601E-004	5.440000E-001	-1.007815E-004
-3.287589E-004	5.500000E-001	-1.808174E-004
-4.743434E-004	5.560000E-001	-2.637349E-004
-6.216961E-004	5.620000E-001	-3.493932E-004
-7.705002E-004	5.680000E-001	-4.376441E-004
-9.202235E-004	5.740000E-001	-5.282083E-004
-1.071263E-003	5.800000E-001	-6.213325E-004
-1.223290E-003	5.860000E-001	-7.168479E-004
-1.376123E-003	5.920000E-001	-8.146648E-004
-1.530332E-003	5.980000E-001	-9.151385E-004
-1.686286E-003	6.040000E-001	-1.018517E-003
-1.841970E-003	6.100000E-001	-1.123602E-003
-1.998408E-003	6.160000E-001	-1.231019E-003
-2.155453E-003	6.220000E-001	-1.340692E-003
-2.312924E-003	6.280000E-001	-1.452516E-003
-2.470375E-003	6.340000E-001	-1.566218E-003
-2.628469E-003	6.400000E-001	-1.682220E-003
-2.786556E-003	6.460000E-001	-1.800115E-003
-2.945810E-003	6.520000E-001	-1.920668E-003
-3.105547E-003	6.580000E-001	-2.043450E-003
-3.265551E-003	6.640000E-001	-2.168326E-003
-3.426259E-003	6.700000E-001	-2.295594E-003
-3.588099E-003	6.760000E-001	-2.425555E-003
-3.749535E-003	6.820000E-001	-2.557183E-003
-3.910784E-003	6.880000E-001	-2.690619E-003
-4.072358E-003	6.940000E-001	-2.826216E-003
-4.234111E-003	7.000000E-001	-2.963878E-003
-4.396348E-003	7.060000E-001	-3.103822E-003
-4.558924E-003	7.120000E-001	-3.245954E-003
-4.722298E-003	7.180000E-001	-3.390610E-003
-4.886148E-003	7.240000E-001	-3.537571E-003
-5.050583E-003	7.300000E-001	-3.686926E-003
-5.215263E-003	7.360000E-001	-3.838434E-003
-5.380491E-003	7.420000E-001	-3.992324E-003
-5.547430E-003	7.480000E-001	-4.149478E-003
-5.713677E-003	7.540000E-001	-4.308112E-003
-5.880481E-003	7.600000E-001	-4.469166E-003
-6.048127E-003	7.660000E-001	-4.632865E-003
-6.216700E-003	7.720000E-001	-4.799292E-003
-6.386153E-003	7.780000E-001	-4.968427E-003
-6.556666E-003	7.840000E-001	-5.140426E-003
-6.728486E-003	7.900000E-001	-5.315504E-003
-6.901040E-003	7.960000E-001	-5.493228E-003
-7.074754E-003	8.020000E-001	-5.673953E-003
-7.249150E-003	8.080000E-001	-5.857313E-003
-7.424810E-003	8.140000E-001	-6.043795E-003
-7.602286E-003	8.200000E-001	-6.233875E-003
-7.780358E-003	8.260000E-001	-6.426576E-003
-7.960035E-003	8.320000E-001	-6.622749E-003
-8.141007E-003	8.380000E-001	-6.822164E-003
-8.323419E-003	8.440000E-001	-7.024966E-003
-8.507890E-003	8.500000E-001	-7.231707E-003
-8.694501E-003	8.560000E-001	-7.442493E-003
-8.882333E-003	8.620000E-001	-7.656571E-003
-9.072050E-003	8.680000E-001	-7.874539E-003
-9.263572E-003	8.740000E-001	-8.096362E-003
-9.457050E-003	8.800000E-001	-8.322204E-003
-9.651927E-003	8.860000E-001	-8.551607E-003
-9.850380E-003	8.920000E-001	-8.786539E-003
-1.005024E-002	8.980000E-001	-9.025116E-003
-1.025211E-002	9.040000E-001	-9.267907E-003
-1.045627E-002	9.100000E-001	-9.515206E-003
-1.073890E-002	9.160000E-001	-9.836832E-003
-1.094693E-002	9.220000E-001	-1.009307E-002
-1.115562E-002	9.280000E-001	-1.035242E-002
-1.136787E-002	9.340000E-001	-1.061759E-002
-1.158271E-002	9.400000E-001	-1.088775E-002
-1.180072E-002	9.460000E-001	-1.116348E-002
-1.202186E-002	9.520000E-001	-1.144481E-002
-1.224532E-002	9.580000E-001	-1.173102E-002
-1.247335E-002	9.640000E-001	-1.202431E-002
-1.270392E-002	9.700000E-001	-1.232280E-002
-1.293688E-002	9.760000E-001	-1.262639E-002
-1.317256E-002	9.820000E-001	-1.293545E-002
-1.341168E-002	9.880000E-001	-1.325074E-002
-1.365432E-002	9.940000E-001	-1.357239E-002
