PV Cell Characteristics


Date and Time: 2019-11-18 19:32:00


Model:            g191113-4-1
Serial Number:    1
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           0.532000
Isc(A):           0.003248
Vm(V):            0.340000
Im(A):            0.002583
Pmax(W):          0.000878
Efficiency(%):    7.317115
Fill Factor(%):   50.817759
Jsc(A/m2):        270.652917
Rs(ohm):          53.635998
Rsh(ohm):         2743.484225
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)


3.281657E-003	-2.000000E-001	-6.563314E-004
3.281180E-003	-1.940000E-001	-6.365489E-004
3.279961E-003	-1.880000E-001	-6.166327E-004
3.278924E-003	-1.820000E-001	-5.967642E-004
3.278031E-003	-1.760000E-001	-5.769335E-004
3.276990E-003	-1.700000E-001	-5.570883E-004
3.276602E-003	-1.640000E-001	-5.373627E-004
3.275451E-003	-1.580000E-001	-5.175213E-004
3.274457E-003	-1.520000E-001	-4.977175E-004
3.271206E-003	-1.460000E-001	-4.775961E-004
3.270309E-003	-1.400000E-001	-4.578433E-004
3.271047E-003	-1.340000E-001	-4.383203E-004
3.269565E-003	-1.280000E-001	-4.185043E-004
3.268858E-003	-1.220000E-001	-3.988007E-004
3.266256E-003	-1.160000E-001	-3.788857E-004
3.266819E-003	-1.100000E-001	-3.593501E-004
3.265681E-003	-1.040000E-001	-3.396308E-004
3.263994E-003	-9.800000E-002	-3.198714E-004
3.263539E-003	-9.200000E-002	-3.002456E-004
3.260205E-003	-8.600000E-002	-2.803776E-004
3.260697E-003	-8.000000E-002	-2.608558E-004
3.260584E-003	-7.400000E-002	-2.412832E-004
3.259576E-003	-6.800000E-002	-2.216512E-004
3.257576E-003	-6.200000E-002	-2.019697E-004
3.256209E-003	-5.600000E-002	-1.823477E-004
3.255811E-003	-5.000000E-002	-1.627906E-004
3.254797E-003	-4.400000E-002	-1.432111E-004
3.253042E-003	-3.800000E-002	-1.236156E-004
3.252960E-003	-3.200000E-002	-1.040947E-004
3.252195E-003	-2.600000E-002	-8.455707E-005
3.252932E-003	-2.000000E-002	-6.505864E-005
3.252682E-003	-1.400000E-002	-4.553755E-005
3.248871E-003	-8.000000E-003	-2.599097E-005
3.247835E-003	-2.000000E-003	-6.495670E-006
3.244497E-003	4.000000E-003	1.297799E-005
3.244271E-003	1.000000E-002	3.244271E-005
3.242479E-003	1.600000E-002	5.187966E-005
3.240397E-003	2.200000E-002	7.128873E-005
3.238750E-003	2.800000E-002	9.068500E-005
3.235699E-003	3.400000E-002	1.100138E-004
3.235983E-003	4.000000E-002	1.294393E-004
3.233832E-003	4.600000E-002	1.487563E-004
3.230287E-003	5.200000E-002	1.679749E-004
3.227452E-003	5.800000E-002	1.871922E-004
3.224518E-003	6.400000E-002	2.063692E-004
3.222837E-003	7.000000E-002	2.255986E-004
3.219794E-003	7.600000E-002	2.447043E-004
3.217006E-003	8.200000E-002	2.637945E-004
3.213657E-003	8.800000E-002	2.828018E-004
3.210659E-003	9.400000E-002	3.018019E-004
3.209503E-003	1.000000E-001	3.209503E-004
3.206579E-003	1.060000E-001	3.398974E-004
