PV Cell Characteristics


Date and Time: 2019-11-18 22:14:07


Model:            g191109-2
Serial Number:    
Operator Name:    
Cell Area(m2):    0.000012

Voc(V):           0.436000
Isc(A):           0.000183
Vm(V):            0.214000
Im(A):            0.000090
Pmax(W):          0.000019
Efficiency(%):    0.160301
Fill Factor(%):   24.156519
Jsc(A/m2):        15.220000
Rs(ohm):          3011.769241
Rsh(ohm):         2255.257569
Light Intensity(W/m2):    1000.000000
Cell Temperature deg.(C): 25.000000



Raw data:
I(A)      	V(V)      	P(W)
-1.988497E-005	5.080000E-001	-1.010156E-005
-2.133569E-005	5.140000E-001	-1.096654E-005
-2.267666E-005	5.200000E-001	-1.179186E-005
-2.408706E-005	5.260000E-001	-1.266979E-005
-2.535272E-005	5.320000E-001	-1.348765E-005
-2.669975E-005	5.380000E-001	-1.436447E-005
-2.791210E-005	5.440000E-001	-1.518418E-005
-2.918867E-005	5.500000E-001	-1.605377E-005
-3.040262E-005	5.560000E-001	-1.690386E-005
-3.158854E-005	5.620000E-001	-1.775276E-005
-3.278644E-005	5.680000E-001	-1.862270E-005
-3.392440E-005	5.740000E-001	-1.947261E-005
-3.514557E-005	5.800000E-001	-2.038443E-005
-3.624131E-005	5.860000E-001	-2.123741E-005
-3.745364E-005	5.920000E-001	-2.217255E-005
-3.854962E-005	5.980000E-001	-2.305267E-005
-3.974813E-005	6.040000E-001	-2.400787E-005
-4.089618E-005	6.100000E-001	-2.494667E-005
-4.205584E-005	6.160000E-001	-2.590640E-005
-4.321679E-005	6.220000E-001	-2.688084E-005
-4.435318E-005	6.280000E-001	-2.785380E-005
-4.555662E-005	6.340000E-001	-2.888290E-005
-4.667761E-005	6.400000E-001	-2.987367E-005
-4.792382E-005	6.460000E-001	-3.095879E-005
-4.906308E-005	6.520000E-001	-3.198913E-005
-5.032921E-005	6.580000E-001	-3.311662E-005
-5.152947E-005	6.640000E-001	-3.421557E-005
-5.278867E-005	6.700000E-001	-3.536841E-005
-5.404251E-005	6.760000E-001	-3.653274E-005
-5.526795E-005	6.820000E-001	-3.769274E-005
-5.657288E-005	6.880000E-001	-3.892214E-005
-5.781473E-005	6.940000E-001	-4.012342E-005
-5.917899E-005	7.000000E-001	-4.142529E-005
-6.044275E-005	7.060000E-001	-4.267258E-005
-6.183094E-005	7.120000E-001	-4.402363E-005
-6.315819E-005	7.180000E-001	-4.534758E-005
-6.456584E-005	7.240000E-001	-4.674567E-005
-6.595965E-005	7.300000E-001	-4.815054E-005
-6.734584E-005	7.360000E-001	-4.956654E-005
